1	1.9	1.9.B	1.9.B.3	74	Explain how call by value works.
3	3.8	3.8.A	3.8.A.2	75	Identify shadowed variables
1	1.9	1.9.B	1.9.B.3	76	Evaluate code involving pass by value and changes to local variables.
1	1.9	1.9.B	1.9.B.4	77	Identify which of several overloaded methods will be invoked by a call.
1	1.9	1.9.B	1.9.B.5	78	Explain how method calls affect the flow of control.
1	1.9	1.9.B	1.9.B.5	79	Trace the execution of code involving method calls.
1	1.9	1.9.B	1.9.B.5	80	Trace the order of evaluation of expressions & statements.
1	1.10	1.10.A	1.10.A.2	81	Write correct calls to a static method from outside the class.
1	1.10	1.10.A	1.10.A.2	82	Write correct calls to a static method from inside the class.
1	1.9	1.9.A	1.9.A.2	83	Write correct calls to static & instance methods based on signatures.
1	1.10	1.10.A	1.10.A.1	84	Determine whether a method can be static or not.
1	1.11	1.11.A	1.11.A.2	85	Write expressions using Math.random() to generate random numbers
1	1.11	1.11.A	1.11.A.3	86	Write if statements that use Math.random() to execute code with probability
1	1.11	1.11.A	1.11.A.3	87	Explain the difference between inclusive and exclusive bounds
1	1.11	1.11.A	1.11.A.3	88	Explain what a half-open intervals (is- closed)
1	1.12	1.12.A	1.12.A.1	89	Describe how instance variables are used by instance methods.
1	1.12	1.12.A	1.12.A.1	90	Sketch diagram of how instances and classes relate in memory
1	1.12	1.12.A	1.12.A.3	91	List the methods all classes inherit from java.lang.Object
1	1.15	1.15.A	1.15.A.5	92	Write correct overriding to String methods.
2	2.6	2.6.B	2.6.B.3	93	Explain the difference between Object.equals & String.equals.
1	1.12	1.12.A	1.12.A.2	94	Describe the purpose of inheritance (limited to Object)
1	1.12	1.12.B	1.12.B.1	95	Distinguish between the reference value & object data of an instance.
1	1.12	1.12.B	1.12.B.1	96	Explain where instance variables are stored in memory
1	1.13	1.13.A	1.13.A.1	97	Describe the role of a constructor
3	3.4	3.4.A	3.4.A.2	98	Describe the two main ways instance variables are initialized.
3	3.9	3.9.A	3.9.A.1	99	Write constructors that use the this. idiom.
3	3.8	3.8.A	3.8.A.2	100	Explain why the this. idiom is necessary.
1	1.13	1.13.A	1.13.A.3	101	Identify which overloaded constructor will be invoked by a call.
3	3.9	3.9.A	3.9.A.1	102	Distinguish between when we have to use this. and when its optional
3	3.9	3.9.A	3.9.A.1	103	Write overloaded constructors that use this()
3	3.4	3.4.A	3.4.A.5	104	List the default values for uninitialized instance variables
1	1.13	1.13.C	1.13.C.1	105	Write correct invocations of a constructor with new
1	1.13	1.13.C	1.13.C.4	106	Trace the flow of code containing calls to constructors.
1	1.13	1.13.A	1.13.A.2	107	Identify syntactically correct constructor signatures.
1	1.13	1.13.C	1.13.C.1	108	Explain the difference between allocating & initializing an object.
1	1.13	1.13.A	1.13.A.1	109	Explain the difference between the heap and the stack.
1	1.13	1.13.A	1.13.A.1	110	Describe the differences between methods and constructors.
1	1.13	1.13.C	1.13.C.1	111	Use constructor calls in contexts other than assignments.
1	1.13	1.13.C	1.13.C.3	112	Identify correct & incorrect calls to a constructor based on arg types.
1	1.13	1.13.B	1.13.B.1	113	Identify correct & incorrect uses of constructor invocation based on expected type.
1	1.14	1.14.A	1.14.A.1	114	Write correct calls to instance methods on specific object
3	3.9	3.9.A	3.9.A.1	115	Write correct calls to instance methods with implicit this.
3	3.9	3.9.A	3.9.A.2	116	Write code that passes this as an argument
1	1.14	1.14.A	1.14.A.2	117	State what happens if you invoke an instance method on null.
1	1.4	1.4.A	1.4.A.1	118	Explain the purpose of the null value
1	1.3	1.3.B	1.3.B.2	119	Write code that uses strong literals.
1	1.15	1.15.A	1.15.A.1	120	Write code that uses variables of type String
1	1.15	1.15.A	1.15.A.3	121	Define "immutable."
1	1.15	1.15.A	1.15.A.4	122	Write code that uses string concatenation with +
1	1.15	1.15.A	1.15.A.4	123	Write code that builds up a String value with +=
1	1.15	1.15.A	1.15.A.4	124	Write code that uses string + with non-String values.
1	1.15	1.15.A	1.15.A.5	125	Explain the relationship between + and toString
1	1.15	1.15.B	1.15.B.2	126	Explain why its necessary to use equals with String objects.
2	2.6	2.6.B	2.6.B.3	127	Explain why we can (and should) use equals with all reference types.
2	2.2	2.2.A	2.2.A.1	128	Explain why equals probably doesn't do what we want with arrays.
1	1.15	1.15.B	1.15.B.2	129	Write code that uses String length
1	1.15	1.15.B	1.15.B.2	130	Write code that uses both 1-arg and 2-arg substring
1	1.15	1.15.B	1.15.B.2	131	Write code that uses indexOf with substring to extract parts
1	1.15	1.15.B	1.15.B.2	132	Write code that uses compareTo
1	1.15	1.15.B	1.15.B.2	133	Explain the recipe for writing comparisons using compareTo
1	1.15	1.15.A	1.15.A.5	134	Write a class with an overridden toString
1	1.15	1.15.B	1.15.B.2	135	Calculate the String and int values returned by String method calls
1	1.15	1.15.B	1.15.B.3	136	Write code to extract a one-character string at an index
2	2.1	2.1.A	2.1.A.1	137	Match "selection" with decisions and "repetition" with looping
2	2.3	2.3.A	2.3.A.1	138	Explain how selection changes control flow
2	2.7	2.7.A	2.7.A.1	139	Explain how repetition changes control flow
2	2.3	2.3.A	2.3.A.2	140	Explain the role of booleans in selection & repetition
2	2.2	2.2.A	2.2.A.1	141	Define the meaning of == & != for primitive & reference values
2	2.2	2.2.A	2.2.A.1	142	Distinguish between = and == and !=
2	2.2	2.2.A	2.2.A.2	143	Write expressions using the relational operators <, >, <=, >=
2	2.5	2.5.A	2.5.A.1	144	Write chained relational expressions with && as standard form
2	2.2	2.2.A	2.2.A.1	145	Explain why we should never use == & != with booleans
2	2.3	2.3.A	2.3.A.3	146	Write one-way selections with if
2	2.3	2.3.A	2.3.A.4	147	Write two-way selections with if/else
2	2.4	2.4.A	2.4.A.3	148	Write multi-way selections with if/else if/else
2	2.3	2.3.A	2.3.A.2	149	Explain why you should always use braces with if & else
2	2.4	2.4.A	2.4.A.3	150	Explain why else if is an (okay) violation of the always use braces rule
2	2.4	2.4.A	2.4.A.3	151	Calculate the result of code with consecutive ifs vs else if
2	2.4	2.4.A	2.4.A.3	152	Simplify mutually-exclusive consecutive ifs into chained else ifs
2	2.4	2.4.A	2.4.A.3	153	Trace the evaluation of if, if/else, & if/else if/else statements
2	2.4	2.4.A	2.4.A.3	154	Translate multi-way else if chains to mutually exclusive ifs
2	2.5	2.5.A	2.5.A.1	155	Calculate the value of boolean expressions using &&, ||, and !
2	2.6	2.6.A	2.6.A.1	156	Create truth tables for boolean expressions of 2 & 3 variables
2	2.5	2.5.A	2.5.A.2	157	Explain the use of short circuiting boolean operators
2	2.6	2.6.A	2.6.A.2	158	List the rules of boolean algebra
2	2.6	2.6.A	2.6.A.2	159	Apply De Morgan's laws to boolean expressions
2	2.6	2.6.A	2.6.A.2	160	Apply De Morgan's laws to expressions involving relational & equality operators
2	2.6	2.6.A	2.6.A.1	161	Explain what it means for expressions to be equivalent
2	2.6	2.6.B	2.6.B.1	162	Calculate the value of expressions using == & != with references
2	2.6	2.6.B	2.6.B.2	163	Calculate the value of == & != expressions with references including null
2	2.6	2.6.B	2.6.B.3	164	Explain why classes often override equals
2	2.8	2.8.A	2.8.A.3	165	Explain the rule of thumb for choosing between while & for loops
2	2.7	2.7.B	2.7.B.1	166	Explain the structure of a while loop
2	2.7	2.7.B	2.7.B.1	167	Trace the execution of a while loop
2	2.7	2.7.B	2.7.B.1	168	Write code that uses a while loop
2	2.7	2.7.B	2.7.B.1	169	List conditions that you might use in a while loop
2	2.7	2.7.A	2.7.A.2	170	State when you might want an infinite loop
2	2.7	2.7.B	2.7.B.1	171	Identify the condition of a while loop
2	2.7	2.7.B	2.7.B.1	172	Identify the body of a while loop
2	2.7	2.7.B	2.7.B.1	173	Identify a syntactically correct while loop
2	2.7	2.7.A	2.7.A.2	174	Identify infinite while loops
2	2.7	2.7.A	2.7.A.2	175	Fix inadvertant infinite while loops
1	1.1	1.1.C	1.1.C.1	176	Identify missing semicolons and extraneous semicolons
2	2.8	2.8.A	2.8.A.1	177	Explain the structure of a regular for loop
2	2.8	2.8.A	2.8.A.2	178	Write a canonical for loop that runs N times
2	2.8	2.8.A	2.8.A.2	179	Write a canonical reverse for loop that runs N times
2	2.8	2.8.A	2.8.A.2	180	Trace the execution of a for loop including the 3 header clauses
2	2.8	2.8.A	2.8.A.1	181	Define the initializer, condition, and updater in a for loop
2	2.8	2.8.A	2.8.A.3	182	Translate while loops to equivalent for loops and vice versa.
2	2.9	2.9.A	2.9.A.1	183	Write code to test if a number is even
2	2.9	2.9.A	2.9.A.1	184	Write code to test if a number (incl negative) is odd
2	2.9	2.9.A	2.9.A.1	185	Write a loop to do something with the digits of an int.
2	2.9	2.9.A	2.9.A.1	186	Write a counting loop
2	2.9	2.9.A	2.9.A.1	187	Write a maximizing/minimizing loop
2	2.9	2.9.A	2.9.A.1	188	Write an any/some loop
2	2.9	2.9.A	2.9.A.1	189	Write an all/every loop
2	2.9	2.9.A	2.9.A.1	190	Write a summing loop
2	2.10	2.10.A	2.10.A.1	191	Write a String accumulator loop
4	4.10	4.10.A	4.10.A.1	192	Write a filtering loop with an ArrayList (copying)
4	4.10	4.10.A	4.10.A.1	193	Write a loop to remove matching elements from ArrayList
2	2.10	2.10.A	2.10.A.1	194	Write a loop over all fixed-size substrings of a String
2	2.10	2.10.A	2.10.A.1	195	Write a loop over all substrings of a String
2	2.10	2.10.A	2.10.A.1	196	Write a loop to reverse a String
1	1.15	1.15.B	1.15.B.3	197	Write a loop over all the characters (as Strings) in a String
2	2.12	2.12.A	2.12.A.1	198	Compute how many times a for loop will run.
2	2.11	2.11.A	2.11.A.1	199	Compute how many times the inner body of a nested for loop runs.
2	2.11	2.11.A	2.11.A.1	200	Trace the execution of a nested loop.
2	2.7	2.7.A	2.7.A.4	201	Check loops by checking their bounds.
2	2.12	2.12.A	2.12.A.1	202	Give examples of O(N) loops and O(N²) loops
3	3.1	3.1.A	3.1.A.1	203	Define "abstraction"
3	3.1	3.1.A	3.1.A.1	204	List the mechanisms in Java we've learned for creating abstractions
3	3.1	3.1.A	3.1.A.1	205	Describe a program (e.g. Google docs) abstractly in English
3	3.1	3.1.A	3.1.A.2	206	Explain how ints & doubles are an abstraction
1	1.5	1.5.C	1.5.C.1	207	Explain how ints & doubles are an approximation
3	3.1	3.1.A	3.1.A.2	208	List three features of Java that provide data abstraction.
3	3.1	3.1.A	3.1.A.2	209	Explain how writing a class creates a data abstraction
3	3.1	3.1.A	3.1.A.3	210	Define "attribute"
3	3.1	3.1.A	3.1.A.3	211	List the two kinds of attributes in classes.
3	3.1	3.1.A	3.1.A.4	212	Define "procedural abstraction"
3	3.1	3.1.A	3.1.A.4	213	Describe how method decomposition creates layered abstractions
3	3.1	3.1.A	3.1.A.5	214	Explain the role parameters play in a procedural abstraction
3	3.1	3.1.A	3.1.A.4	215	Create methods by extracting code
3	3.1	3.1.A	3.1.A.7	216	Describe a class in English in terms of its attributes & methods
3	3.1	3.1.A	3.1.A.4	217	Describe a method in terms of its inputs and outputs or side effects
3	3.1	3.1.A	3.1.A.7	218	Write a class based on an abstract description.
3	3.2	3.2.A	3.2.A.1	219	Define "system reliability"
3	3.2	3.2.A	3.2.A.2	220	Discuss ways software can have unintended societal consequences
3	3.2	3.2.A	3.2.A.3	221	Explain how copyright applies to software
3	3.2	3.2.A	3.2.A.3	222	Explain the purpose of an open source license.
3	3.3	3.3.A	3.3.A.1	223	Define "encapsulation"
3	3.3	3.3.A	3.3.A.5	224	Explain why instance variables should usually be private.
3	3.3	3.3.A	3.3.A.6	225	Explain how to decide if a method should be public or private.
3	3.3	3.3.A	3.3.A.4	226	Explain what it means for each object to have its own copy of instance variables
3	3.4	3.4.A	3.4.A.1	227	Define an object's "state"
3	3.4	3.4.A	3.4.A.2	228	Explain the main job of every constructor
3	3.4	3.4.A	none	229	Define a "class invariant"
2	2.6	2.6.B	2.6.B.1	230	Explain what it means if two objects represent the same mutable object
3	3.4	3.4.A	3.4.A.3	231	Explain why a constructor might make a copy of one of its arguments.
3	3.4	3.4.A	3.4.A.4	232	State what constructor a class has that doesn't contain an explicit constructor
3	3.4	3.4.A	3.4.A.5	233	List the default values for member variables & types: int, double, boolean, etc. and references
3	3.6	3.6.A	3.6.A.1	234	Write void methods that have external side effects
3	3.5	3.5.A	3.5.A.6	235	Write void methods that have internal side effects
3	3.5	3.5.A	3.5.A.5	236	Write getters & setters (accessors & mutators)
3	3.5	3.5.A	3.5.A.2	237	Write non-void methods that compute values.
3	3.5	3.5.A	3.5.A.2	238	Explain why non-void methods usually shouldn't have side effects
3	3.5	3.5.A	3.5.A.4	239	Trace code that contains return statements
3	3.5	3.5.A	3.5.A.4	240	Explain return in terms of the call stack
3	3.5	3.5.A	3.5.A.5	241	Explain why you might write a getter but no setter
