course	uuid	node_id
csa	67ee4588-9434-4eb2-b91d-07a27bbb5f1d	1.4.A.2
csa	8bb26936-c33c-496e-bdcb-8257470b7039	1.4.A.3
csa	0d9de022-3a91-477e-b001-3f7c25f4ebff	1.4.B.1
csa	fe425cd1-f384-4410-8683-40346dabcaf7	1.4.B.1
csa	71037e1b-ffa9-4936-9a49-b065e5e9eddf	1.5.A.1
csa	902ed0fb-3ea4-49b7-9360-5cd4e95200a3	1.5.A.1
csa	f9f236f7-c6bf-4079-a579-14fa962f72d9	1.5.A.3
csa	5051e7b0-a644-45f2-a668-ff3eb4e264b2	1.5.A.4
csa	ab5e0639-5a47-4295-9c9b-bbfd81df8820	1.5.B.1
csa	d5d4eaf9-1963-4fbb-a03b-a57f774b3e95	1.5.B.2
csa	bbcad76a-02c1-4f52-84dd-cb8b155c0c23	1.5.B.3
csa	e6fa01e5-99b3-430a-ba2c-7bb3ab759f41	1.5.B.3
csa	0bfe5c1c-41b3-4844-acb0-a51b7b231c58	1.5.C.1
csa	30e12cca-8724-40ff-8b18-7fbab0befebb	1.5.C.1
csa	713f4a22-bc84-4bad-8997-fd74fb7c1d87	1.5.C.1
csa	9a3e89cd-c171-4366-9d65-a0c53d4c725a	1.5.C.1
csa	1c9c9436-3b9c-4b18-9177-e2c4db4f562f	1.6.A.1
csa	9690e8d4-9d6a-4878-bfc4-574a55d36b87	1.6.A.1
csa	cb9aac7f-f39e-4c2e-8e54-4ed8d7ecf84c	1.6.A.1
csa	d3c5c770-56b6-46f1-8179-ba04f812027e	1.6.A.2
csa	b0ca0d44-218a-4c9d-a275-d46783db4742	1.7.A.1
csa	c9826686-328a-4c47-b32d-e17132034230	1.7.A.2
csa	6581e308-fdbb-4231-9bcb-a7d3f9acc806	1.8.A.1
csa	938b92d5-ee0e-425a-ace4-64eeeaf6a5a9	1.8.A.1
csa	d5b69206-9001-423e-a5b9-f52d95a7932d	1.8.A.1
csa	11b3491b-6cf0-4419-8e4a-98f5d7f42ae1	1.8.A.2
csa	b306f6dd-f43d-4078-9e4a-ede41bd6f085	1.8.A.2
csa	e80318fe-b5f1-4cfe-bbe0-f48ebdc60212	1.8.A.2
csa	ea8eac0a-8200-4e67-9bf6-5d572f88e791	1.9.A.1
csa	20986aef-3a55-48a7-a451-16934698b316	1.9.A.2
csa	aa85cfb3-ac83-489f-b718-b04877e65452	1.9.A.2
csa	aaa9c0e2-43a2-4da0-828e-778d0cf3e9de	1.9.A.2
csa	ac4c2572-a5e4-4271-91e9-dd12b826412e	1.9.A.2
csa	7448f90f-24ca-4866-a07b-1fabc3cffa0e	1.9.B.1
csa	671763ce-5d45-4c2a-ab19-91a9a6270f2c	1.9.B.2
csa	96d357dc-8547-4816-8d02-d53b9a04d560	1.9.B.2
csa	bb4c26fe-281a-421f-aa73-fc76354a2114	1.9.B.2
csa	336295c8-71c4-4af1-a0a8-fb54986d2b0d	1.9.B.3
csa	7c0ed43a-547d-492f-8f2e-2e5bc4d47b1d	1.9.B.3
csa	9c8565a2-f7e1-48e7-959b-2fe942c9c600	1.9.B.3
csa	bb406397-21d0-445a-bdf0-5a4abe93b455	1.9.B.3
csa	1c167896-1ead-4dab-8816-d7ef8b4ee1cd	1.9.B.4
csa	8aba3490-639b-4515-b362-376477b6822b	1.9.B.5
csa	ccfc9a22-9975-4c98-9c7f-7e44ff749957	1.9.B.5
csa	d33c5576-142a-4dce-b9a8-be82b9547a50	1.9.B.5
csa	d09c309c-0010-4eca-a981-8febe389caf1	2.1.A.1
csa	fefc1d21-bb1f-4c81-a65b-dc228b23246a	2.1.A.1
csa	389dd5f9-4a16-4b6b-9429-7d76071acb01	2.10.A.1
csa	7d55aea0-2c46-47de-99ad-1065bee74520	2.10.A.1
csa	874c0d24-dfb6-4d59-b762-fc16477bbdb9	2.10.A.1
csa	b2966670-7f91-4ed5-bc87-738948815030	2.10.A.1
csa	3284ce94-f10c-410f-8888-f2c8e6b983ba	2.11.A.1
csa	9a820ae5-535b-4939-84c9-b3df2217533d	2.11.A.1
csa	0594bf60-f89e-40d6-bf58-7cacfcf6e8d8	2.12.A.1
csa	4fa88e21-76ff-4d67-979c-c900c92ce09e	2.12.A.1
csa	7269f017-bf15-4caf-be1c-18bbefeaf7c3	2.2.A.1
csa	cfa1ab16-abf9-445e-9c3b-445ec5720d24	2.2.A.1
csa	dc9b5a5b-7794-4204-85c8-1c7dac392fd1	2.2.A.1
csa	eafc7dc4-52ec-48fa-abaf-c6be04ba5e56	2.2.A.1
csa	3071efa1-5290-4474-a4ee-a815c376f5b3	2.2.A.2
csa	dbe4a24c-3c91-4158-acd6-4883fdf6b094	2.3.A.1
csa	65b9d745-bc14-401b-9647-bb326f5a82e7	2.3.A.2
csa	b26e0f26-82d5-4acc-aee4-b043c433afff	2.3.A.2
csa	0a44f60c-8c8a-4aa3-878b-ccf230633a10	2.3.A.3
csa	49c81612-d043-47c9-85c0-d9a704c7e16b	2.3.A.4
csa	1d9a8d8b-72df-47bc-9e6f-6c2afe7c9b56	2.4.A.3
csa	2eccd76f-1f2c-432f-8ed1-75d6336c79b2	2.4.A.3
csa	788e98d6-5f91-4258-901d-994256e588b4	2.4.A.3
